SKU;Description;UniteDeMesure
001101;SAUCE BBQ MARTIN 350G;BLLE
001102;HOT SAUCE SIROCCO FUMEE 100G;BLLE
001103;HOT SAUCE TONNERRE PUR CRU HABANERO JAUNE 100G;BLLE
001104;HOT SAUCE BLACKBELETTE ALGUES ET PIMENTS BRETONS 100G;BLLE
001330;PATE AMANDE CRUE 50% CATANIA 5KG;BTE
001332;PATE D'AMANDE CRUE 52% 1KG;UNIT
001343;FRAMBOISE PEPINS SEAU 4.5 KG;SE
001344;NAPSTAR BLOND SEAU 8KG;SE
001347;PATE A SUCRE DECO FONDANT 5KG;CART
001352;GELEE DESSERT  X 3KG;SE
001357;SUCRANEIGE 10KG;SAC
001358;TRIMOLINE SEAU 11 KG;SE
001360;BATON 8CM CHOCOLAT 44% STANDARD x 300  1,6kg;BTE
001370;GLUCOSE DESHYDRATE/ATOMISE 5KG;SAC
001372;SIROP GLUCOSE CONFISEUR 6KG;SE
001377;PETITES POIRES SIROP BTE 4/4;BTE
001388;LEVURE PANIFICATION FRAICHE LOT DE 5 x 500G;LOT
001389;AMANDE BLANCHIE BATONNETS 1 KG;SACH
001392;PAPIER GUITARE X 100;ROUL
001395;ISOMALT 4KG;SE
001396;ISOMALT 12 KG;SE
001397;TANT POUR TANT BLANC 1 KG;SACH
001410;BICARBONATE SOUDE 1KG;BTE
001413;ACIDE TARTRIQUE 1KG;BTE
001414;ACIDE ASCORBIQUE 1KG;BTE
001415;BAKING POWDER LOUIS FRANCOIS 1KG;BTE
001418;BLANC OEUF GALLIA SECHE 1KG;BTE
001420;ACIDE CITRIQUE POUDRE 1KG;BTE
001421;PECTINE 325 NH 95 1KG;BTE
001424;CREME TARTRE 1KG;BTE
001426;AGAR AGAR POUDRE 1KG;BTE
001427;SUPERNEUTROS SORBETS 1KG;BTE
001430;PECTINE JAUNE 1KG;BTE
001431;NOUGASEC 1KG;BTE
001432;PECTINE 58 1KG;BTE
001433;XANTHANE GOMME 1 KG;KG
001439;STAB 2000 GLACES 1KG;BTE
001440;GLUCOSE DESHYDRATE 1KG;BTE
001442;DEXTROSE 1KG;BTE
001447;PECTINE NH NAPPAGE 1KG;BTE
001450;LAIT ECREME POUDRE 1KG;BTE
001451;GELATINE POISSONS POUDRE 1KG;BTE
001452;(TRIMOLINE) SUCRE INVERTI 1KG;BTE
001462;SORBITOL POUDRE 1KG;BTE
001468;CHLORURE CALCIUM ALIMENTAIRE 1KG;BTE
001470;LECITHINE SOJA POUDRE 1KG;BTE
001478;SUCRE A LA VANILLE BOURBON 1KG;BTE
001480;EXTRAIT DE CAFE TRABLIT 1 L;BLLE
001552;PREPARATION PATE PISTACHE AROMATISEE & COLOREE 1KG;BTE
001570;COLORANT JAUNE CITRON E102 HYDRO 1L;FLA
001571;COLORANT ROUGE FRAISE E129 HYDRO 1L;FLA
001572;COLORANT VERT MENTHE HYDRO 1L;FLA
001642;TRENDY CARRE SUCRE PUR BEURRE 7x7CM X 96;CART
001646;TRENDY ROND SUCRE PUR BEURRE 7CM X 96;BTE
001648;TRENDY CARRE NEUTRE 7X7CM X 96;BTE
001649;MINI TRENDY ROND SUCRE PUR BEURRE 4,9CM X90;BTE
001652;MICRO TRENDY ROND SUCRE PUR BEURRE 3CM X 189;CART
001653;VEGGIE CUP PATE BRISEE BETTERAVE ROUGE 3CM X96;CART
001669;TRENDY ROND PUR BEURRE CHOCOLAT 7CM X96;BTE
001670;MINI TRENDY ROND SUCRE PUR BEURRE 4CM X 240;BTE
001722;COROLLES 3CM X 96;BTE
001727;MINI CONES NEUTRES 2,5X7,5CM + PALETTE X 112;BTE
001734;MINI TRENDY ROND PUR BEURRE CHOCOLAT 4CM X96;BTE
001736;MINI TRENDY ROND NEUTRE 4CM X 240;BTE
001758;FEUILLE DE GENOISE CACAO 58X38X0.7CM  X6;BTE
001810;AMUSETTE FEUILLETEE DIAM 3,6CM X 84;BTE
001842;TRENDY CARRE CHOCOLAT PUR BEURRE 7x7CM X 96;CART
001850;MERINGUE DROPS NATURE 200G;PET
001853;FINE COQUILLE SEPIA 6,7X3,2X1CM X 84;BTE
001856;QUICHE FEUILLETTE NEUTRE 11CM X 42;CART
001858;VOL AU VENT REPAS 9,5CM x48;BTE
001868;TRENDY ROND SUCRE PUR BEURRE 8CM X 96;CART
001872;TARTE SABLEE BORD CANNELE 28CM X10;BTE
001900;PATES FRUITS PASTILLES ASS 5KG;BTE
001901;PATES FRUIT GDE TRAD N°1 4,5KG;BTE
001902;ORANGES LAMELLES POUDREES 1KG;BQ
001913;CITRONS LAMELLES POUDREES 1KG;BQ
001920;GINGEMBRE BATONNETS EGOUTTE 1KG;BQ
001970;FEUILLE DE FILO 500G;PCE
001971;PATE A KADAIF 500G;PCE
001982;FEUILLE DE BRICK X 10 FEUILLES 170G;PAQ
001984;PATE A RAVIOLE 10X10 250G;PAQ
001989;SAUCE TERIYAKI KIKKOMAN 25CL;BLLE
001990;LAIT DE COCO 400G;BTE
001993;PETITS POIS SOUFFLE WASABI 180G;SACH
001997;SAUCE NEM/ROULEAU PRINTEM 70CL;BLLE
002000;SAUCE NUOC-MÂM 72CL;BLLE
002002;NOUILLE SEC INSTANTANEES 400G;PAQ
002003;WASABI PATE TUBE 43G;TUBE
002005;SAUCE KIKKOMAN SALEE 1 L;BLLE
002007;GALETTE RIZ 22CM 454G;SACH
002009;NORI SECHEEx 50 F x110G;PAQ
002010;VERMICELLE RIZ EG 1MM 400G;PAQ
002012;RIZ POUR SUSHI 1 KG;KG
002013;SAUCE HUITRE PANDA 907G;BLLE
002015;GINGEMBRE POUR SUSHI 1,45 KG;BTE
002018;SAUCE PIMENT SWEET& SOUR 280ML;POT
002019;HUILE SESAME NOIRE GRIL. 640ML;PET
002022;WASABI POUDRE 1KG;POT
002023;FARINE DE RIZ 400 G;PAQ
002027;PATE TAMARIN 227 GR;POT
002028;GALETTE DE RIZ 32 CM 1KG;SACH
002029;SAUCE SOJA SALEE KIKKOMAN 150ML;BLLE
002030;SAUCE SOJA SUCREE KIKKOMAN 250ML;BLLE
002032;OIGNON FRIT 1KG;SACH
002033;SAUCE SOJA SUCREE KIKKOMAN 975ML;BLLE
002036;NOUILLE SOBA EAGLOBE 300G;SACH
002037;SAUCE NUOC-MÂM 200ML;BLLE
002041;GRAINES SESAME WASABI 1KG;FLA
002060;AIRELLES AU NATUREL (110G NE) 290G;BOC
002069;GRIOTTES DENOYAUTEES AU SIROP (520G NE) 1KG;BOC
002071;CERISES NOIRES DENOYAUTEES AU SIROP (540G NE) 1KG;BOC
002072;SAUCE PIMENT SWEET& SOUR 900G;POT
002074;SAUCE TERIYAKI 1,9L;BLLE
002075;SAKE DE RIZ 13,5% 2L;BLLE
002079;SAUCE SOJA KIKKOMAN REDUITE EN SEL 250ML;BLLE
002084;VERJUS DU PERIGORD 50CL;BLLE
002090;CONFIT DE VIN DE SAUTERNE BIO 120G;POT
002093;CAVIAR D'AUBERGINE AUX EPICES BIO 100G;POT
002100;PECHES BLCHES ENT12 FRUITS 2L5;BTE
002202;GRIOTTINES ORIGINAL 15% SEAU 3L;SE
002228;GRIOTTINES DECOR 25% PET 1L;PET
002234;GRIOTTINES ORIGINAL 15% PET 1L;PET
002236;GRIOTTINES TRAITEUR 12% PET 1L;PET
002300;PATE MARRON DESCOURS 4/4 900G;BTE
002301;CREME MARRON DESCOUR POCHE 1KG;DOY
002302;CREME DE CHATAIGNE D'ARDECHE AOP BIO 325G;BOC
002303;BRISURES EXTRA DE MARRON PRECUITES 1KG;POC
002306;CHATAIGNES D'ARDECHE ENTIERES AOP 420G;BOC
002307;CHATAIGNES ENTIERES CUITES SACHET 500G;DOY
002312;MARRONS ENTIERS CUITS SOUS VIDE PONTHIER 400G;BQ
002315;MARRONS ENTIERS AU NATUREL 72CL 430G;BOC
002317;PUREE DE MARRON SANS SUCRE AJOUTE 400G;POT
002318;FARINE DE CHATAIGNE POT 450G;POT
002321;CREME MARRONS FAUGIER 4/4 992G;BTE
002325;PATE MARRONS CONFIT EXTRA FAUGIER 4/4 1 KG;BTE
002326;FARINE DE CHATAIGNE 1KG;SAC
002327;PUREE DE MARRONS FAUGIER 4/4 879G;BTE
002350;PUREE D'ABRICOT PONTHIER 1KG;POC
002351;PUREE D'ANANAS PONTHIER 1KG;POC
002352;PUREE DE BANANE PONTHIER 1KG;POC
002353;PUREE DE CASSIS PONTHIER 1KG;POC
002354;PUREE DE CITRON JAUNE 100% PONTHIER 1KG;POC
002355;PUREE DE CITRON VERT 100% PONTHIER 1KG;POC
002356;PUREE DE NOIX DE COCO INTENSE PONTHIER 1KG;POC
002358;PUREE DE COROSSOL PONTHIER 1KG;POC
002359;PUREE DE FRAISE PONTHIER 1KG;POC
002360;PUREE DE FRAMBOISE PONTHIER 1KG;POC
002361;PUREE DE POIVRON ROUGE 100% PONTHIER 1KG;POC
002362;PUREE DE GRENADE PONTHIER 1KG;POC
002363;PUREE DE GRIOTTE PONTHIER 1KG;POC
002364;PUREE DE GROSEILLE PONTHIER 1KG;POC
002365;PUREE DE LITCHI PONTHIER 1KG;POC
002366;PUREE DE MANDARINE 100% PONTHIER 1KG;POC
002367;PUREE DE MANGUE ALPHONSO PONTHIER 1KG;POC
002368;PUREE DE FRUITS ROUGES PONTHIER 1KG;POC
002369;PUREE DE MURE PONTHIER 1KG;POC
002370;PUREE DE MYRTILLE PONTHIER 1KG;POC
002371;PUREE D'ORANGE SANGUINE 100% PONTHIER 1KG;POC
